proj,dag_id,band,old_schedule,new_schedule,執行時間說明,config_path
proj_city_dashboard,R0019,heavy,@monthly,"30 19 2,23 * *",每月 2號、23號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0019/job_config.json
proj_city_dashboard,R0061,heavy,0 20 20 * *,"30 19 3,24 * *",每月 3號、24號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0061/job_config.json
proj_city_dashboard,long_term,heavy,@monthly,"30 19 4,25 * *",每月 4號、25號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/long_term/job_config.json
proj_city_dashboard,D050303_1,light,"0 2 4 6,12 *","30 19 5,26 * *",每月 5號、26號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_1/job_config.json
proj_city_dashboard,energy_saving_coaching_situation_tpe,light,0 20 19 * *,"30 19 6,27 * *",每月 6號、27號 Taipei 03:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/energy_saving_coaching_situation_tpe/job_config.json
proj_city_dashboard,D070202,heavy,"0 5 27 3,9 *","30 20 1,22 * *",每月 1號、22號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D070202/job_config.json
proj_city_dashboard,R0021,heavy,"0 3 2 6,12 *","30 20 2,23 * *",每月 2號、23號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0021/job_config.json
proj_city_dashboard,R0063,heavy,10 19 3 * *,"30 20 3,24 * *",每月 3號、24號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0063/job_config.json
proj_city_dashboard,population_age_distribution_monthly,heavy,0 4 14 * *,"30 20 4,25 * *",每月 4號、25號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/population_age_distribution_monthly/job_config.json
proj_city_dashboard,D050303_3,light,"0 2 6 6,12 *","30 20 5,26 * *",每月 5號、26號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050303_3/job_config.json
proj_city_dashboard,env_srv_energy_subsidy,light,"0 3 24 6,12 *","30 20 6,27 * *",每月 6號、27號 Taipei 04:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/env_srv_energy_subsidy/job_config.json
proj_city_dashboard,D090103_2,heavy,"0 8 21 5,11 *","30 21 1,22 * *",每月 1號、22號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D090103_2/job_config.json
proj_city_dashboard,R0024,heavy,30 23 10 * *,"30 21 2,23 * *",每月 2號、23號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0024/job_config.json
proj_city_dashboard,R0065,heavy,30 19 3 * *,"30 21 3,24 * *",每月 3號、24號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0065/job_config.json
proj_city_dashboard,smoking_area,heavy,0 20 19 * *,"30 21 4,25 * *",每月 4號、25號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/smoking_area/job_config.json
proj_city_dashboard,D050401_1,light,"0 5 2 5,11 *","30 21 5,26 * *",每月 5號、26號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050401_1/job_config.json
proj_city_dashboard,li_age_population_tpe,light,0 20 19 * *,"30 21 6,27 * *",每月 6號、27號 Taipei 05:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/li_age_population_tpe/job_config.json
