grid_id,density,district,lon,lat
86476,8,新北市五股區,121.44157180180197,25.099816513513826
86477,8,新北市五股區,121.441571801802,25.10071741441473
86478,8,新北市五股區,121.44157180180197,25.10161831531564
86479,8,新北市五股區,121.44157180180197,25.102519216216535
86480,10,新北市五股區,121.44157180180198,25.103420117117437
86481,10,新北市五股區,121.44157180180201,25.104321018018343
86482,8,新北市五股區,121.44157180180197,25.10522191891925
86483,8,新北市五股區,121.441571801802,25.106122819820147
86484,8,新北市五股區,121.44157180180198,25.107023720721052
86524,17,新北市八里區,121.44157180180197,25.14305975675713
86525,37,新北市八里區,121.44157180180201,25.14396065765803
86526,45,新北市八里區,121.44157180180198,25.14486155855894
86527,54,新北市八里區,121.44157180180198,25.145762459459842
86528,44,新北市八里區,121.44157180180197,25.14666336036074
86529,44,新北市八里區,121.44157180180198,25.147564261261646
86530,44,新北市八里區,121.44157180180197,25.148465162162545
86531,42,新北市八里區,121.441571801802,25.14936606306345
86532,42,新北市八里區,121.44157180180198,25.150266963964352
86533,42,新北市八里區,121.44157180180198,25.151167864865254
86534,36,新北市八里區,121.44157180180197,25.15206876576615
86535,43,新北市八里區,121.44157180180201,25.15296966666705
86536,34,新北市八里區,121.44157180180201,25.153870567567957
86537,28,新北市八里區,121.441571801802,25.15477146846886
86538,25,新北市八里區,121.44157180180198,25.155672369369764
86539,25,新北市八里區,121.44157180180198,25.15657327027066
86540,25,新北市八里區,121.44157180180197,25.157474171171557
86541,25,新北市八里區,121.44157180180197,25.15837507207247
86548,5,新北市淡水區,121.44157180180197,25.16468137837878
86549,218,新北市淡水區,121.44157180180198,25.16558227927968
86550,269,新北市淡水區,121.441571801802,25.166483180180578
86551,269,新北市淡水區,121.44157180180197,25.16738408108149
86552,309,新北市淡水區,121.44157180180201,25.16828498198239
86553,328,新北市淡水區,121.44157180180198,25.16918588288329
86554,269,新北市淡水區,121.44157180180197,25.17008678378419
86555,347,新北市淡水區,121.441571801802,25.17098768468509
86556,315,新北市淡水區,121.44157180180197,25.171888585585993
86557,311,新北市淡水區,121.44157180180198,25.17278948648689
86558,384,新北市淡水區,121.441571801802,25.173690387387797
86559,379,新北市淡水區,121.44157180180197,25.1745912882887
86560,286,新北市淡水區,121.44157180180198,25.175492189189608
86561,331,新北市淡水區,121.44157180180198,25.17639309009051
86562,325,新北市淡水區,121.44157180180197,25.17729399099141
86563,315,新北市淡水區,121.441571801802,25.178194891892307
86564,311,新北市淡水區,121.44157180180197,25.17909579279321
86565,348,新北市淡水區,121.44157180180198,25.17999669369411
86566,265,新北市淡水區,121.441571801802,25.180897594595017
86567,241,新北市淡水區,121.44157180180197,25.18179849549591
86568,204,新北市淡水區,121.44157180180201,25.18269939639682
86569,170,新北市淡水區,121.44157180180198,25.183600297297726
86570,203,新北市淡水區,121.441571801802,25.184501198198625
86571,180,新北市淡水區,121.44157180180198,25.185402099099534
86572,198,新北市淡水區,121.44157180180201,25.186303000000425
86573,149,新北市淡水區,121.44157180180201,25.18720390090133
86574,147,新北市淡水區,121.44157180180197,25.18810480180223
86575,167,新北市淡水區,121.441571801802,25.18900570270313
86576,160,新北市淡水區,121.441571801802,25.18990660360404
86577,160,新北市淡水區,121.44157180180201,25.19080750450494
86578,130,新北市淡水區,121.44157180180197,25.19170840540584
86579,167,新北市淡水區,121.44157180180201,25.192609306306743
86580,147,新北市淡水區,121.44157180180197,25.19351020720764
86581,137,新北市淡水區,121.441571801802,25.194411108108543
86582,106,新北市淡水區,121.44157180180197,25.19531200900945
86583,106,新北市淡水區,121.44157180180197,25.196212909910347
86584,102,新北市淡水區,121.44157180180201,25.197113810811253
