"識別碼","資料集名稱","資料集網址","資料集提供機關名稱","更新頻率","主題分類","數發部資料集服務分類","提供格式","資料集語系","資料說明"
"C7924850-46B5-4CEB-B002-3999FD5D92E3","115年度新北市總預算案歲入歲出性質及餘絀簡明比較分析表","https://data.ntpc.gov.tw/datasets/c7924850-46b5-4ceb-b002-3999fd5d92e3","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲入歲出性質及餘絀簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"87549DFA-01F6-458C-833B-1CEF4F032C55","115年度新北市總預算案歲入來源別預算總表","https://data.ntpc.gov.tw/datasets/87549dfa-01f6-458c-833b-1cef4f032c55","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲入來源別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"2CB246DA-8AEF-4DB9-B4B1-9A190B3BB09B","115年度新北市總預算案歲出機關別預算總表","https://data.ntpc.gov.tw/datasets/2cb246da-8aef-4db9-b4b1-9a190b3bb09b","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲出機關別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"1B2CAD2F-F585-4E33-83A2-9765C1F7A120","115年度新北市總預算案歲出政事別預算比較總表（經資門併計）","https://data.ntpc.gov.tw/datasets/1b2cad2f-f585-4e33-83a2-9765c1f7a120","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲出政事別預算比較總表（經資門併計） 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"53D18763-BBCA-44F7-BE0F-F0CA7B46FE35","115年度新北市總預算案歲出機關別預算比較總表(經資門併計)","https://data.ntpc.gov.tw/datasets/53d18763-bbca-44f7-be0f-f0ca7b46fe35","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲出機關別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"33000B78-086D-4525-B847-B1FAC898056B","115年度新北市總預算案歲出政事別預算總表","https://data.ntpc.gov.tw/datasets/33000b78-086d-4525-b847-b1fac898056b","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.115年度新北市總預算案歲出政事別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->115年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=2e510b566b47a2778d18f1e3b185c784)或電洽主計處查詢。"
"6F161FC2-40A7-492A-A8EE-9FD8668D6F4F","新北市愛滌生多元照護計畫合作機構資訊","https://data.ntpc.gov.tw/datasets/6f161fc2-40a7-492a-a8ee-9fd8668d6f4f","新北市政府衛生局/心理衛生科/成癮防治股","每年","醫療","就醫","JSON、CSV、XML、KML","中文","新北市愛滌生多元照護計畫合作機構資訊。"
"58031CC5-31B8-4F34-9953-5C066D66DE35","防毒保衛站","https://data.ntpc.gov.tw/datasets/58031cc5-31b8-4f34-9953-5c066d66de35","新北市政府衛生局/心理衛生科/成癮防治股","每年","醫療","公共資訊","JSON、CSV、XML、KML","中文","新北市防毒保衛站-毒品戒癮諮詢藥局"
"9D345944-C45C-4E39-BD23-677B85738F85","公司登記清冊","https://data.ntpc.gov.tw/datasets/9d345944-c45c-4e39-bd23-677b85738f85","新北市政府經濟發展局/公司登記科","每季","經濟","開創事業","JSON、CSV、XML、KML","中文","公司登記資料"
"F1DE3AD5-560E-41E4-A68E-7CD03A40F1A0","114年新北市政府消防局辦理國家賠償事件收結情形表","https://data.ntpc.gov.tw/datasets/f1de3ad5-560e-41e4-a68e-7cd03a40f1a0","新北市政府消防局/秘書室","每年","消防","公共資訊","JSON、CSV、XML","中文","提供新北市政府消防局辦理國家賠償事件收結情形"
