hotel_name,min_price,biz_area,city
東驛商務旅館,8000.0,承德路中古汽車商圈,Taipei
西悠巢旅台北館,3400.0,承德路中古汽車商圈,Taipei
柯達大飯店台北松江 ,2000.0,士林捷運站周邊,Taipei
三隻老虎青年旅館,1700.0,承德路中古汽車商圈,Taipei
意芙旅店,5980.0,承德路中古汽車商圈,Taipei
老爺會館台北林森,3000.0,承德路中古汽車商圈,Taipei
大師會館國際酒店,6000.0,承德路中古汽車商圈,Taipei
和逸．台北民生館,13000.0,士林捷運站周邊,Taipei
謙商旅-東門館,7880.0,承德路中古汽車商圈,Taipei
華泰瑞舍,21000.0,士林捷運站周邊,Taipei
尚印旅店-二館,5476.0,士林捷運站周邊,Taipei
品格子旅店,6000.0,承德路中古汽車商圈,Taipei
路境行旅-府前館,6880.0,承德路中古汽車商圈,Taipei
和逸 台北忠孝館,15000.0,承德路中古汽車商圈,Taipei
皇家玫瑰旅館中山館,18000.0,承德路中古汽車商圈,Taipei
明星大飯店,12880.0,承德路中古汽車商圈,Taipei
橙舍青年旅館（臺北二館）,3600.0,承德路中古汽車商圈,Taipei
酩月大飯店,12880.0,承德路中古汽車商圈,Taipei
方舟旅店,5500.0,承德路中古汽車商圈,Taipei
丰居旅店雙連館,7000.0,士林捷運站周邊,Taipei
蜂巢 Bee House,5200.0,承德路中古汽車商圈,Taipei
旅樂序精品旅館,5800.0,承德路中古汽車商圈,Taipei
龍蝦先生的秘密巢穴,640.0,承德路中古汽車商圈,Taipei
途中‧台北國際青年旅舍,2000.0,新北投溫泉商圈,Taipei
台北慕軒,19000.0,士林觀光夜市商圈,Taipei
復新文旅 ,5000.0,士林捷運站周邊,Taipei
洛碁大飯店中華館,3000.0,承德路中古汽車商圈,Taipei
台北漫步旅店,18000.0,承德路中古汽車商圈,Taipei
儷夏旅館-西寧館,3000.0,承德路中古汽車商圈,Taipei
皇家玫瑰旅館站前館,15000.0,承德路中古汽車商圈,Taipei
昌亞旅館,8000.0,天母商圈,Taipei
台北文華東方酒店,39850.0,士林捷運站周邊,Taipei
大地清旅,5500.0,士林捷運站周邊,Taipei
雀客旅館　,9800.0,士林捷運站周邊,Taipei
安庭澔思青年旅舍,2500.0,承德路中古汽車商圈,Taipei
卡樂町旅店,2288.0,承德路中古汽車商圈,Taipei
信星旅館,3200.0,承德路中古汽車商圈,Taipei
昇美精旅,18000.0,士林捷運站周邊,Taipei
千彩格精品旅店　,6880.0,士林捷運站周邊,Taipei
有誠商旅,11000.0,天母商圈,Taipei
拾光行旅,8000.0,承德路中古汽車商圈,Taipei
首都大飯店松山館,13200.0,大直商圈,Taipei
皇家玫瑰旅館西門館,15000.0,承德路中古汽車商圈,Taipei
洛碁大飯店驛,6000.0,承德路中古汽車商圈,Taipei
思泊客,11800.0,大直商圈,Taipei
誠品行旅,26000.0,士林捷運站周邊,Taipei
松哖酒店,8500.0,士林觀光夜市商圈,Taipei
台北西門窩青年旅館,1400.0,承德路中古汽車商圈,Taipei
凡登商旅-二館,5980.0,士林觀光夜市商圈,Taipei
沃田旅店,2400.0,行義路溫泉美食商圈,Taipei
承攜行旅台北復北館,18000.0,士林捷運站周邊,Taipei
瘋台北青旅,1000.0,承德路中古汽車商圈,Taipei
豪景大酒店新館,6600.0,承德路中古汽車商圈,Taipei
天閣酒店台北復興,10200.0,士林捷運站周邊,Taipei
互舍商旅台北館,3600.0,承德路中古汽車商圈,Taipei
品格子旅店西門館,750.0,承德路中古汽車商圈,Taipei
台北中山意舍酒店,5100.0,承德路中古汽車商圈,Taipei
小公館人文旅舍,6000.0,大直商圈,Taipei
台北叙美精品旅店,2053.0,承德路中古汽車商圈,Taipei
綺樂文旅 康定館,8800.0,承德路中古汽車商圈,Taipei
北門臥客青年旅舍,4000.0,承德路中古汽車商圈,Taipei
新驛旅店復興北路店,9600.0,士林捷運站周邊,Taipei
朵兒旅館,2000.0,士林觀光夜市商圈,Taipei
東楓商旅,2000.0,士林觀光夜市商圈,Taipei
璞邸旅店,2790.0,承德路中古汽車商圈,Taipei
浩室物業1館,2400.0,承德路中古汽車商圈,Taipei
艾特文旅,13920.0,承德路中古汽車商圈,Taipei
賦樂旅居,16170.0,士林觀光夜市商圈,Taipei
清翼居旅店童話館,3700.0,承德路中古汽車商圈,Taipei
城市商旅德立莊分館,18000.0,承德路中古汽車商圈,Taipei
町記憶旅店,16800.0,承德路中古汽車商圈,Taipei
鉑泊客,3080.0,承德路中古汽車商圈,Taipei
約克旅店,2280.0,承德路中古汽車商圈,Taipei
台北發現青年旅舍,6000.0,天母商圈,Taipei
二十輪旅店大安店,4500.0,士林觀光夜市商圈,Taipei
福爾摩莎壹零壹旅館,1650.0,士林觀光夜市商圈,Taipei
台北六福萬怡酒店,12000.0,西湖商圈,Taipei
番茄行旅,4000.0,承德路中古汽車商圈,Taipei
壹零壹艾美琪旅店,18000.0,士林觀光夜市商圈,Taipei
沃客商旅-西門館,980.0,承德路中古汽車商圈,Taipei
甄美精品商旅,18000.0,士林捷運站周邊,Taipei
天使青旅,399.0,承德路中古汽車商圈,Taipei
能量旅店,4800.0,承德路中古汽車商圈,Taipei
洛碁大飯店南京館,3000.0,士林捷運站周邊,Taipei
藝宿商旅,6160.0,承德路中古汽車商圈,Taipei
方舟旅店 長安復興,4300.0,士林捷運站周邊,Taipei
峻美精旅,13000.0,士林捷運站周邊,Taipei
天雲旅棧台北基河,20000.0,天母商圈,Taipei
台北天晴旅店,5000.0,承德路中古汽車商圈,Taipei
丰居旅店忠孝館,2420.0,士林觀光夜市商圈,Taipei
怡品商旅,1000.0,士林觀光夜市商圈,Taipei
姆提文創旅店,2380.0,士林觀光夜市商圈,Taipei
禾順行旅,10000.0,承德路中古汽車商圈,Taipei
清翼居旅店采風館,6500.0,承德路中古汽車商圈,Taipei
丰居旅店北車館,10000.0,承德路中古汽車商圈,Taipei
米尼旅店,1000.0,承德路中古汽車商圈,Taipei
寧夏2號旅店,14880.0,承德路中古汽車商圈,Taipei
台北松山意舍酒店,3465.0,大直商圈,Taipei
趣旅館‧林森館,3650.0,天母商圈,Taipei
綺樂文旅 開封館,2300.0,承德路中古汽車商圈,Taipei
洛碁大飯店松山館,3000.0,大直商圈,Taipei
獅城旅館,600.0,承德路中古汽車商圈,Taipei
日日吉旅店,980.0,天母商圈,Taipei
路徒行旅-中華館,8880.0,承德路中古汽車商圈,Taipei
旅樂序精品旅館三館,3988.0,承德路中古汽車商圈,Taipei
漫旅時光,6600.0,士林捷運站周邊,Taipei
洛碁大飯店忠孝館,3000.0,士林觀光夜市商圈,Taipei
靜好文旅,5449.0,士林捷運站周邊,Taipei
背包棧旅店-台北長春店,2500.0,士林捷運站周邊,Taipei
台北北門窩泊旅,540.0,承德路中古汽車商圈,Taipei
斯格加旅店,1500.0,承德路中古汽車商圈,Taipei
詩漫精品旅館,9770.0,承德路中古汽車商圈,Taipei
城市商旅昆明館（HOTEL PAPA WHALE）,12020.0,承德路中古汽車商圈,Taipei
碩美精品飯店,15000.0,士林捷運站周邊,Taipei
卡夫人背包客棧,300.0,承德路中古汽車商圈,Taipei
福爾摩沙正旅館,1600.0,承德路中古汽車商圈,Taipei
大安公園旅店,650.0,承德路中古汽車商圈,Taipei
帛堯初見輕旅,1600.0,承德路中古汽車商圈,Taipei
進綵商旅,5750.0,承德路中古汽車商圈,Taipei
在家行旅西門館,5000.0,承德路中古汽車商圈,Taipei
涪美飯店,5600.0,承德路中古汽車商圈,Taipei
台灣青旅,4000.0,承德路中古汽車商圈,Taipei
仲信大湖商旅,6000.0,天母商圈,Taipei
