dag,ready_table,db_rows,api_rows,diff(db-api),chart_component_ids,component_names,dashboards,chart_row_counts,chart_sum_data,chart_sum_value,schedule,source_type,api_note
proj_city_dashboard/R0066,building_renewarea_40,80,80,0,28,都市更新案件,城市建設(台北),5,2500,,40 19 3 * *,internal GeoJSON file,udd
proj_city_dashboard/R0067,building_unsued_land,87,87,0,30,閒置市有財產,圖資資訊(台北),2,,108,"0 7 7 3,6,9,12 *",data.taipei API,data.taipei rid=15c3dde7-b6db-4a66-84c2-098236b84512
proj_city_dashboard/R0068,building_unsued_public,20,65,-45,30,閒置市有財產,圖資資訊(台北),2,,108,"0 1 16 3,9 *",data.taipei csv file,data.taipei rid=5afc5dde-3431-45a4-995f-9610616f32cc
proj_city_dashboard/R0075,fire_hydrant_location,30292,30445,-153,15,火災應變設施,圖資資訊(台北),2,,,"0 1 20 1,4,7,10 *",data.taipei csv file,data.taipei rid=b9f8154d-c627-48a8-b3ef-512ed9cde9e7
proj_city_dashboard/D010501,resh_petition,3469373,40637,3428736,5,臺北市陳情系統,為民服務(台北),10,40637,,0 19 16 * *,data.taipei api,page→rid 4f78ad83-ba00-41ff-b1fb-83f87932da87
proj_city_dashboard/D020105,urbn_air_raid_shelter,6052,5917,135,171|171,防空避難設施|防空避難設施,防災都市(台北)|防災都市(雙北),164|48,15377|5906,|,"0 3 24 6,12 *",data.taipei api,data.taipei rid=e7aecde4-ef04-46e3-849b-1ee159ea6d5f
proj_city_dashboard/D020201,fire_narrow_street,283,274,9,172|172,狹小巷弄程度分佈|狹小巷弄程度分佈,防災都市(台北)|防災都市(雙北),82|24,623|238,|,20 5 25 * *,data.taipei api,data.taipei rid=cd4ec60e-8d53-48a5-bbf1-9ec1f2afc20b
proj_city_dashboard/D020301,tran_cctv,752,752,0,176,監視器分佈,為民服務(台北)|道路交通(台北),12,450,,0 1 7 * *,ATIS api,ATIS CCTVByLBS
proj_city_dashboard/D030101_1,work_sidewalk,15291,15291,0,105,人行道分布,圖資資訊(台北),1,,,0 0 1 * *,data.taipei GeoJSON,json https://tpnco.blob.core.windows.net/blobfs/Data/TP_SIDEWORK.
proj_city_dashboard/D030104_2,tran_parking,1745,874,871,114,公共停車場,道路交通(台北),4,225078,,10 22 * * 1,data.taipei JSON,unresolved urls=['https://tcgbusfs.blob.core.windows.net/blobtcmsv/T'] rids=[] pages=[] ntpc=[] moenv=[] | patched
proj_city_dashboard/D030201,traffic_accident,701132,22762,678370,22,最新交通事故月統計,道路交通(台北),2,1992,,"0 18 27 6,12 *",data.taipei csv,page→rid 83d6d29c-6801-41a2-95c6-47d551646db3
proj_city_dashboard/D040301_1,work_street_light,145860,146372,-512,108,路燈分佈,城市建設(台北),12,145860,,50 20 * * *,data.taipei JSON,json https://tppkl.blob.core.windows.net/blobfs/TaipeiLight.json
proj_city_dashboard/D040302_1,work_urgent_use_road,580,230,350,177,道路管制,為民服務(台北),24,596,,10 6 * * *,data.taipei GeoJSON,json https://tpnco.blob.core.windows.net/blobfs/Rally/TodayUrgent
proj_city_dashboard/D040302_2,work_rally_use_road,16,4,12,177,道路管制,為民服務(台北),24,596,,0 6 * * *,data.taipei GeoJSON,json https://tpnco.blob.core.windows.net/blobfs/Rally/TodayRallyC
proj_city_dashboard/D040401,garbage_truck,4015,4015,0,141,垃圾車收運點位,為民服務(台北),48,4015,,0 0 1 * *,data.taipei API,data.taipei rid=a6e90031-7ec4-4089-afb5-361a4efe7202
proj_city_dashboard/D050201_1,work_street_tree,92989,92927,62,110,行道樹,城市建設(台北)|氣候變遷(台北),12,92989,,0 3 9 * *,data.taipei JSON,json https://tppkl.blob.core.windows.net/blobfs/TaipeiTree.json
proj_city_dashboard/D050301_1,work_garden_city,765,765,0,111,田園城市,氣候變遷(台北)|都市規劃(台北),4,24,,0 0 1 * *,data.taipei JSON,direct https://farmcity.taipei/city/api/
